CosmicWatch v3X Componet Placement Sheet,,,,,,,,,,
,,,,,,,,,,
#,Component Identifier,Value,Component,Description,Exact Part Needed?,Notes,Link,Alt Link,Price ($),
Step 1: Break off SiPM PCB from the Main PCB (in Bag) and mount the following items in order.,,,,,,,,,1x (unit),10x
1,"R12,R24,R22,R19,R17,R30,R21,R25",1k,,RES SMD 1K OHM 1% 1/8W 0805,,,🔗,,0.1,0.12
2,R27,1.3k,,RES SMD 1.3K OHM 1% 1/8W 0805,,,🔗,,0.1,0.25
3,R31,2k,,RES SMD 2K OHM 1% 1/8W 0805,,,🔗,,0.1,0.14000000000000001
4,"R9,R8,R18",100,,RES SMD 100 OHM 1% 1/8W 0805,,R28 and R29 were removed in v28.,🔗,,0.1,0.25
4,R23,10k,,RES SMD 10k OHM 1% 1/8W 0805,,,🔗,,0.1,0.25
5,R4,0,,RES SMD 0 OHM,,This is a short,🔗,,0.1,0.27
6,"C3,C2,C19,C17,C20",4.7uF,,CAP CER 4.7UF 50V X7R 0805 ,,,🔗,,0.19,1.08
7,"C1,C14,C11,C21,C22,C18,C6",1uF,,CAP CER 1UF 50V Y5V 0805,,,🔗,,0.11,0.63
8,"C4,C12,C25,C16",0.1uF,,CAP CER 0.1UF 50V X7R 0805,,,🔗,,0.08,0.08
9,FB1,Ferrite Bead,,FB ULTRA 0805 31 OHM 6A .015DC,,,🔗,,0.1,0.22
10,U7,LM4040 2.5V,,IC VREF SHUNT 0.5% SOT23,,This component references the ADC to 2.5V,🔗,,1.04,6.31
11,U4,RP Pico,,"No Header Pins, just the board",,Note direction. ,🔗,,4,40
"Step 2: The RP Pico powers the circit. The LM4040 generats 2.5V to reference the ADC and bias various parts of the circuit. Plug RP Pico in via the Micro USB cable into a USB port, and check that you get 2.5V across C25. If yes, unplug and continue.",,,,,,,,,,
12,L1,47uH,,FIXED IND 47UH 190MA 4.86OHM SMD,✓,,🔗,,0.15,1.22
13,Q2,2N7002,,MOSFET SOT23 N 60V 5OHM 150C,,,🔗,,0.1,0.54
14,"U2,U5",TPH2502,,IC OPAMP 2 CIRCUIT,✓,Note direction. ,🔗,,1.92,11.92
15,U1,MAX5026,,"DC-DC Booster, IC REG BOOST ADJ 260MA SOT6",✓,Note direction. This provides 29.5V to SiPM.,🔗,,1.67,12.26
16,R2,154k,,RES SMD 154k OHM 0.1% 1/8W 0603,,Smaller component to reduce ripple on DC-DC Booster,🔗,,0.14000000000000001,1.08
17,R1,6.65k,,RES SMD 6.65k OHM 0.1% 1/8W 0603,,Smaller component to reduce ripple on DC-DC Booster,🔗,,0.1,0.61
18,D3,BAT54WS,,DIODE SCHOTTKY 30V 200MA SOD323,,Note direction. ,🔗,,0.13,0.8
19,6-pin header ,2.54mm 2x3 pin,,CONN SOCKET 6POS 0.1 GOLD PCB,,Make sure you put it on the correct side of the board. Top side of board with RP Pico.,🔗,,0.89,7.55
"Step 3: Plug RP Pico. You just built the high voltage that is used to power the SiPM. Verify that you get +30V from the HV pin to GND on the 6-pin header. If yes, unplug and continue.",,,,,,,,,,
20,"R10,R26,R14",100k,,RES SMD 100k OHM 1% 1/8W 0805,,,🔗,,0.1,0.14000000000000001
21,R3,49.9,,RES SMD 49.9 OHM 1% 1/8W 0805,,,🔗,,0.1,0.12
22,R5,620,,RES SMD 620 OHM 1% 1/8W 0805,,,🔗,,0.1,0.12
23,R7,22.1k,,RES SMD 22.1k OHM 1% 1/8W 0805,,,🔗,,0.13,0.16
25,"C5,C13",200pF,,CAP CER 200pF 50V Y5V 0805,,,🔗,,0.1,0.49
26,"D1,D4",BAT54S,,DIODE ARR SCHOT 30V 200MA SOT233,,D1 is a voltage clamp. D4 is for the peak detector.,🔗,,0.13,0.73
27,BNC receptacle ,BNC header ,,CONN BNC JACK R/A 50 OHM PCB ,,Mount on top side of board,🔗,🔗,2.48,21.07
"Step 4: If you have access to a working and SiPM-scintilaltor board already, plug into your main PCB. Power on the RP Pico in. Connect BNC connection into oscilloscope channel 1. Check for 10mV, 200ns pulses. Next add the digital components.
100ns pulses? Use an oscilloscope proble on Channel 2 to connect to TP1/2/3, what do you see?",,,,,,,,,,
